title,top_1_name,top_2_name,top_3_name,top_4_name,top_5_name,top_1_score,top_2_score,top_3_score,top_4_score,top_5_score
The Judge,Forsaken,Garden State,The Business of Fancydancing,Walking Tall,Young Adult,0.20785816315831385,0.18400755495810164,0.16750163447148186,0.16660813585909615,0.16512177777740425
The Peacemaker,Thunderball,The Man from U.N.C.L.E.,The Train,Never Say Never Again,Child 44,0.14219374607911428,0.14205309424938242,0.12281233125054097,0.10790310045462642,0.10221984674623391
Resident Evil: Apocalypse,Resident Evil: Extinction,Doomsday,Slither,The Forsaken,Stolen,0.17900083555786236,0.1525569589372836,0.14775042931326393,0.14302602239774442,0.12659714035180736
Bridget Jones: The Edge of Reason,Bridget Jones's Diary,Fur: An Imaginary Portrait of Diane Arbus,Ed Wood,24 7: Twenty Four Seven,"Lovely, Still",0.1920492311223938,0.12830807730074076,0.12220694268499396,0.10831785653629054,0.10693914340146742
Out of Time,Rush Hour 3,Take Me Home Tonight,Kiss the Bride,The Replacement Killers,Because of Winn-Dixie,0.15364860817122214,0.15096010828508247,0.14288120750590977,0.1322957925157543,0.10704294732457119
On Deadly Ground,Black November,The World Is Not Enough,Sorcerer,The Grey,Syriana,0.2785655420433023,0.2077764355149645,0.18763085557833822,0.1800535507535343,0.16432398243595897
The Adventures of Sharkboy and Lavagirl,The Secret Life of Pets,Max Keeble's Big Move,The Losers,Mad Max Beyond Thunderdome,The Adventures of Pinocchio,0.2071823053682097,0.10241340934393765,0.09594126372751297,0.09478784665774093,0.09346483156273046
The Beach,The Fugitive,The Unborn,The Rocket: The Legend of Rocket Richard,Casino,Couples Retreat,0.11403362499757745,0.10802939392807266,0.10068779541090123,0.09984686171323617,0.09862882986303528
Raising Helen,A Walk on the Moon,Rabbit Hole,Anything Else,"Synecdoche, New York",Cheap Thrills,0.22910588631361942,0.2143562464748216,0.17643702741568273,0.16837684323171961,0.1548067210831888
Ninja Assassin,Anaconda,Blade: Trinity,Darkness Falls,Four Brothers,Teenage Mutant Ninja Turtles,0.09450742568183154,0.08769015319526843,0.08658682783238952,0.08289340233535236,0.08110102909959768
